# qid|name|dob|ig|x|tt|countries|srcs|urls|wiki|teams|occs|sports|group  (session 16 master, collapsed by QID)
Q2625258|Nancy Metcalf|1978-11-12||nancyjmetcalf||United States|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Nancy_Metcalf|Nebraska Cornhuskers women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q2628829|Brenda Castillo|1992-06-05|brendacastillofficial|||Dominican Republic||http://www.cev.lu/Competition-Area/PlayerDetails.aspx?TeamID=7950&PlayerID=47182&ID=569|https://en.wikipedia.org/wiki/Brenda_Castillo||Q15117302=volleyball player|Q1734=volleyball|intl
Q2629578|Ivana Nešović|1988-07-23|nesovicivana|||Serbia|||https://en.wikipedia.org/wiki/Ivana_Ne%C5%A1ovi%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q2632984|Camila Brait|1988-10-28|cbrait|||Brazil|||https://en.wikipedia.org/wiki/Camila_Brait||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2665739|Cecilia Tait|1962-03-05||CeciliaTaitV||Peru|InterSportStats|https://infogob.jne.gob.pe/Politico/FichaPolitico/cecilia-roxana-tait-villacorta_historial-partidario_RWXt3c6mMkcc6+@0ElOxMA==Xc|https://en.wikipedia.org/wiki/Cecilia_Tait||Q15117302=volleyball player;Q17361156=beach volleyball player;Q82955=politician|Q1734=volleyball|beach
Q2693488|Sara Alberti|1993-01-03|albertisara|||Italy|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q2711893|Sara Anzanello|1980-07-30|anza1|anza1||Italy|||https://en.wikipedia.org/wiki/Sara_Anzanello||Q15117302=volleyball player|Q1734=volleyball|intl
Q2829153|Aksana Kavalchuk|1979-11-23|aksana_kavalchuk_volley|||Belarus||http://www.worldofvolley.com/wov-community/players/1492.html|https://en.wikipedia.org/wiki/Aksana_Kavalchuk||Q15117302=volleyball player|Q1734=volleyball|intl
Q2844954|Ana Beatriz Corrêa|1992-02-07|anabeatrizcorrea|||Brazil||https://www.olympedia.org/athletes/141181|https://en.wikipedia.org/wiki/Ana_Beatriz_Corr%C3%AAa||Q15117302=volleyball player|Q1734=volleyball|intl
Q2866702|Aslı Kalaç|1995-12-13|aslikalac|||Turkey|||https://en.wikipedia.org/wiki/Asl%C4%B1_Kala%C3%A7||Q15117302=volleyball player|Q1734=volleyball|intl
Q2891336|Charlotte Flair|1986-04-05|charlottewwe|MsCharlotteWWE|mscharlotteflair|United States|IMDb;Internet Wrestling Database;Library of Congress Authorities;The Movie Database;Wrestlingdata.com;Česko-Slovenská filmová databáze||https://en.wikipedia.org/wiki/Charlotte_Flair|Appalachian State Mountaineers women's volleyball|Q13474373=professional wrestler;Q15117302=volleyball player;Q762121=personal trainer|Q131359=professional wrestling;Q1734=volleyball;Q43450=gymnastics|ncaa
Q2923360|Brackcides Khadambi|1984-05-14|blackieagala|||Kenya||http://www.worldofvolley.com/wov-community/players/11368.html;https://nation.africa/kenya/sports/prisons-face-rivals-pipeline-without-injured-agala-4271134|https://en.wikipedia.org/wiki/Brackcides_Khadambi||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q3009630|Cándida Arias|1992-03-11|candidaarias|||Dominican Republic||https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/119224|https://en.wikipedia.org/wiki/C%C3%A1ndida_Arias||Q15117302=volleyball player|Q1734=volleyball|intl
Q3061344|Eva Chantava|1990-10-26|evachantava|EChantava||Greece||http://www.worldofvolley.com/wov-community/players/84703.html|https://en.wikipedia.org/wiki/Eva_Chantava||Q15117302=volleyball player|Q1734=volleyball|intl
Q3081190|Francien Huurman|1975-04-18|franshine|||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Francien_Huurman||Q15117302=volleyball player|Q1734=volleyball|intl
Q3089303|Kaoru Sugayama|1978-12-26|kaoru546sean|||Japan|||https://en.wikipedia.org/wiki/Kaoru_Sugayama||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q3094045|Gabriela Guimarães|1994-05-19|gabiguimaraes10|GuimaraesGabi10||Brazil||https://women.volleybox.net/es/gabriela-guimaraes-p1313;https://www.cob.org.br/pt/cob/time-brasil/atletas/gabi-guimaraes/|https://en.wikipedia.org/wiki/Gabriela_Guimar%C3%A3es||Q15117302=volleyball player|Q1734=volleyball|intl
Q3108218|Gizem Örge|1993-04-26|gizemorge|gizemorge||Turkey|||https://en.wikipedia.org/wiki/Gizem_%C3%96rge||Q15117302=volleyball player|Q1734=volleyball|intl
Q3129962|Heloiza Lacerda Pereira|1990-11-02|helo90|||Brazil||http://clubworldchampionships.2016.women.fivb.com/en/teams/rex-rexona-sesc%20rio/players/heloiza-pereira?id=54391;http://clubworldchampionships.2016.women.fivb.com/en/players/heloiza-pereira?id=54391|||Q15117302=volleyball player|Q1734=volleyball|intl
Q3179666|Joanna Wołosz|1990-04-07|asiawolosz14|Asia_wo||Poland|||https://en.wikipedia.org/wiki/Joanna_Wo%C5%82osz||Q15117302=volleyball player|Q1734=volleyball|intl
Q3197416|Kirsten Knip|1992-09-14|kirstenknip||kirstenknip1|Kingdom of the Netherlands||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=70392475|https://en.wikipedia.org/wiki/Kirsten_Knip||Q15117302=volleyball player|Q1734=volleyball|intl
Q3218829|Lauren Gibbemeyer|1988-09-08|lgibby5|||United States|||https://en.wikipedia.org/wiki/Lauren_Gibbemeyer|Minnesota Golden Gophers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q3293183|Marina Tumas|1984-09-17|tumik1|||Belarus||http://www.worldofvolley.com/wov-community/players/10596.html|https://en.wikipedia.org/wiki/Marina_Tumas||Q15117302=volleyball player|Q1734=volleyball|intl
Q3303222|Maëva Orlé|1991-05-08|orle_maeva|||France||http://www.worldofvolley.com/wov-community/players/7324.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q3305207|Cenaida Uribe|1965-12-02||cenaida_uribe||Peru|InterSportStats|https://infogob.jne.gob.pe/Politico/FichaPolitico/cenaida-cebastiana-uribe-medina_historial-partidario_Nz0QE56ZYOk=05|https://en.wikipedia.org/wiki/Cenaida_Uribe||Q15117302=volleyball player;Q82955=politician|Q1734=volleyball|intl
Q3308599|Michaela Abrhámová|1993-08-31|sealavie_bymiki|||Slovakia|Volleybox;WorldofVolley|http://www.svf.sk/sk/reprezentacia/zeny/repre/blokar/michaela-abrhamova/|https://en.wikipedia.org/wiki/Michaela_Abrh%C3%A1mov%C3%A1||Q15117302=volleyball player|Q1734=volleyball|intl
Q3313840|Milagros Collar|1988-04-15|mailacollar|||Spain||http://www.bvbinfo.com/player.asp?ID=8377|https://en.wikipedia.org/wiki/Milagros_Collar||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q3320766|Monika Potokar|1987-12-18|monipoto16|||Slovenia||http://www.bvbinfo.com/player.asp?ID=20177|||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q3320768|Monika Rákošová|1987-09-30|monkaaa10|||Slovakia|FIVB database;Volleybox||||Q15117302=volleyball player|Q1734=volleyball|intl
Q3339245|Neşve Büyükbayram|1990-01-01|15nesh|||Turkey|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q3416056|Rachael Adams|1990-06-03|rachaeladams|RADAMSS||United States|||https://en.wikipedia.org/wiki/Rachael_Adams|Texas Longhorns women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q3416130|Rachele Sangiuliano|1981-06-23|racu7|||Italy|||https://en.wikipedia.org/wiki/Rachele_Sangiuliano||Q15117302=volleyball player;Q1930187=journalist|Q1734=volleyball|intl
Q3436803|Roberta Ratzke|1990-04-28|robertaratzke|||Brazil||https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/119575|https://en.wikipedia.org/wiki/Roberta_Ratzke||Q15117302=volleyball player|Q1734=volleyball|intl
Q3441890|Roosa Koskelo|1991-08-20|rrrrosee|||Finland||https://www.cev.eu/PlayerDetail.aspx?PlayerID=6994|https://en.wikipedia.org/wiki/Roosa_Koskelo||Q15117302=volleyball player|Q1734=volleyball|intl
Q3478136|Hazal Selin Uygur|1992-08-18|hselinu|||Turkey|||https://en.wikipedia.org/wiki/Hazal_Selin_Uygur||Q15117302=volleyball player|Q1734=volleyball|intl
Q3497925|Stefania Okaka|1989-08-09|stefania.okaka|||Italy|||||Q15117302=volleyball player;Q762121=personal trainer|Q1734=volleyball|intl
Q3516090|Tatsiana Markevich|1988-03-25|tatsiana15|||Belarus|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q3542496|Tuğba Özay|1978-02-10|tugbaozay10|TUGBAOZAY10||Turkey|Česko-Slovenská filmová databáze||https://en.wikipedia.org/wiki/Tu%C4%9Fba_%C3%96zay||Q15117302=volleyball player;Q177220=singer;Q33999=actor;Q4610556=model|Q31920=competitive swimming|intl
Q3555720|Vera Salikova|1989-03-04|s_verooka89|||Russia|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q3610451|Alessia Travaglini|1988-04-10|alessia_trava|||Italy|||https://en.wikipedia.org/wiki/Alessia_Travaglini||Q15117302=volleyball player|Q1734=volleyball|intl
Q3847665|Mariana Costa|1986-07-30|mariparaibaa|||Brazil||http://www.bvbinfo.com/player.asp?ID=14573;http://www.worldofvolley.com/wov-community/players/7077.html|https://en.wikipedia.org/wiki/Mariana_Costa_(volleyball)||Q15117302=volleyball player;Q4610556=model|Q1734=volleyball;Q4543=beach volleyball|beach
Q3847839|Marie-Andrée Lessard|1977-12-06||malessard||Canada;Guatemala|||https://en.wikipedia.org/wiki/Marie-Andr%C3%A9e_Lessard||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q3891317|Kristina Kicka|1992-03-26|kristina_kicka|||Belarus;Poland|VBL database|http://www.theohofland.nl/female-players-opposite/Kristina-Mikhailenko/120.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q3959234|Shauna Mullin|1984-09-11||shuvolleygb||United Kingdom|||https://en.wikipedia.org/wiki/Shauna_Mullin||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q4023855|Zara Dampney|1986-06-10||Zara_Dampney||United Kingdom||http://www.bvbinfo.com/player.asp?ID=8384|https://en.wikipedia.org/wiki/Zara_Dampney||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q4389603|Miwa Asao|1986-02-02|asaomiwa1986_official|||Japan|||https://en.wikipedia.org/wiki/Miwa_Asao||Q1328668=gravure idol;Q15117302=volleyball player;Q17361156=beach volleyball player;Q2705098=tarento|Q4543=beach volleyball|beach
Q4733463|Allyn Rose|1988-05-27||AllynRose||United States|IMDb||https://en.wikipedia.org/wiki/Allyn_Rose||Q15117302=volleyball player;Q18581305=beauty pageant contestant|Q1734=volleyball|intl
Q4750359|Ana Gallay|1986-01-16|anita_amg|anagallay||Argentina||https://www.coarg.org.ar/index.php/component/k2/item/5955-gallay-ana-maria|https://en.wikipedia.org/wiki/Ana_Gallay||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q4790862|Arisa Takada|1987-02-17||ars217tkd||Japan|||https://en.wikipedia.org/wiki/Arisa_Takada||Q15117302=volleyball player|Q1734=volleyball|intl
Q4918945|Nootsara Tomkom|1985-07-07|nootsara13|||Thailand|||https://en.wikipedia.org/wiki/Nootsara_Tomkom||Q15117302=volleyball player|Q1734=volleyball|intl
Q4919220|Piyanut Pannoy|1989-11-10|plawann2|||Thailand||https://en.volleyballworld.com/en/vnl/2019/women/teams/tha-thailand/players/piyanut_pannoy?id=71790|https://en.wikipedia.org/wiki/Piyanut_Pannoy||Q15117302=volleyball player|Q1734=volleyball|intl
Q4966318|Anika Brinkmann|1986-08-04|ani_bri_6|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743023305&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q5041101|Carla Rueda|1990-04-19|carlacotito20|||Peru|InterSportStats|https://women.volleybox.net/carla-rueda-p5265/clubs|https://en.wikipedia.org/wiki/Carla_Rueda||Q13590141=presenter;Q15117302=volleyball player|Q1734=volleyball|intl
Q5127105|Clarivett Yllescas|1993-08-11|clarivett.yllescas|||Peru|InterSportStats|https://women.volleybox.net/clarivett-yllescas-p5270/clubs;https://www.olympedia.org/athletes/1302196|https://en.wikipedia.org/wiki/Clarivett_Yllescas||Q15117302=volleyball player|Q1734=volleyball|intl
Q5257690|Denise Johns|1978-12-09||DJbeachvolley||United States|||https://en.wikipedia.org/wiki/Denise_Johns||Q15117302=volleyball player;Q42973=architect|Q4543=beach volleyball|beach
Q5698362|Hege Storhaug|1962-05-21||hegestorhaug||Norway||https://snl.no/Hege_Storhaug|https://en.wikipedia.org/wiki/Hege_Storhaug||Q1930187=journalist;Q36180=writer|Q1734=volleyball|intl
Q6001920|Marta Fraile|1982-10-30||martafraile9||Spain||https://women.volleybox.net/marta-fraile-p15156/indoor_tournaments|||Q15117302=volleyball player|Q1734=volleyball|intl
Q6135073|Miki Oyama|1985-10-03|miki_oyama1003|||Japan|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q6538022|Leyla Chihuán|1975-09-04||LeylaChihuan||Peru|InterSportStats|https://infogob.jne.gob.pe/Politico/FichaPolitico/leyla-felicita-chihuan-ramos_historial-partidario_42GN@1E2xbI=G1|https://en.wikipedia.org/wiki/Leyla_Chihu%C3%A1n||Q15117302=volleyball player;Q82955=politician|Q1734=volleyball|intl
Q6617376|Yeum Hye-seon|1991-02-03|luminous___y03|hyeseon3||South Korea|||https://en.wikipedia.org/wiki/Yeum_Hye-seon||Q15117302=volleyball player|Q1734=volleyball|intl
Q6763061|Marie Wada|1987-09-18||marie_wada||Japan|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q6845451|Mijal Hines Cuza|1993-12-15|mijalhines|mijalhines||Costa Rica|FIBA database||https://en.wikipedia.org/wiki/Mijal_Hines_Cuza||Q15117302=volleyball player;Q3665646=basketball player|Q1734=volleyball;Q5372=basketball|intl
Q6962355|Nanae Takizawa|1987-09-22|nanaetakizawa|nanae0922||Japan|||https://en.wikipedia.org/wiki/Nanae_Takizawa||Q15117302=volleyball player|Q1734=volleyball|intl
Q7279167|Rachel Bragg|1984-12-11||bambi_bragg||United Kingdom|||https://en.wikipedia.org/wiki/Rachel_Bragg||Q15117302=volleyball player|Q1734=volleyball|intl
Q7408418|Samaa Miyagawa|1983-08-17||miyagawasummer||Japan|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q7662978|Chizuru Kotō|1982-10-08||chizuruganbaru2||Japan|||https://en.wikipedia.org/wiki/Chizuru_Kot%C5%8D||Q15117302=volleyball player|Q1734=volleyball|intl
Q7933806|Yuki Ishii|1991-05-08|yuki.ishii|kuu__yuk1||Japan|||https://en.wikipedia.org/wiki/Yuki_Ishii||Q15117302=volleyball player|Q1734=volleyball|intl
Q9142328|Agnieszka Korneluk|1994-10-17|agaa_kakaa|||Poland|||https://en.wikipedia.org/wiki/Agnieszka_Korneluk||Q15117302=volleyball player|Q1734=volleyball|intl
Q9150548|Anastasiya Miklashevich|1988-04-09|mikla07|||Belarus|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q9250336|Edinah Rotich|1981-03-27|edinahrotich|||Kenya||https://www.eurosport.fr/volleyball/edinah-jemutai-rotich_prs253883/person.shtml|https://en.wikipedia.org/wiki/Edinah_Rotich||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q9256545|Everlyne Makuto|1990-08-25|everlynemakuto|||Kenya||http://www.worldofvolley.com/wov-community/players/11355.html|https://en.wikipedia.org/wiki/Everlyne_Makuto||Q15117302=volleyball player|Q1734=volleyball|intl
Q9301467|江卓儀|1987-01-12|kongsonia||||||||Q15117302=volleyball player|Q1734=volleyball|intl
Q9332838|Sakura Numata|1989-07-24|numata_sakura|sakura_sakuharu||Japan|||||Q15117302=volleyball player;Q4610556=model|Q1734=volleyball|intl
Q9348453|Sutadta Chuewulim|1992-12-19|14_sutadta|||Thailand||http://www.worldofvolley.com/wov-community/players/41144.html|https://en.wikipedia.org/wiki/Sutadta_Chuewulim||Q15117302=volleyball player|Q1734=volleyball|intl
Q9356873|Teodora Pušić|1994-03-12|teodora.pusic|||Serbia||http://worldgrandprix.2017.fivb.com/en/group1/competition/teams/srb-serbia/players/teodora-pusic?id=59651|https://en.wikipedia.org/wiki/Teodora_Pu%C5%A1i%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q9383504|Yonkaira Peña|1993-05-10|pena_yonkaira16|||Dominican Republic|||https://en.wikipedia.org/wiki/Yonkaira_Pe%C3%B1a||Q15117302=volleyball player|Q1734=volleyball|intl
Q10318337|Liliane Maestrini|1987-10-26|lili_maestrini|||Brazil||http://www.bvbinfo.com/player.asp?ID=9923|https://en.wikipedia.org/wiki/Liliane_Maestrini||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q11081660|Akari Oumi|1989-11-10||akarii1110||Japan|||https://en.wikipedia.org/wiki/Akari_Oumi||Q15117302=volleyball player|Q1734=volleyball|intl
Q11261663|Oh Ji-young|1988-07-11|oh_ji_young|||South Korea||https://www.olympedia.org/athletes/144962|https://en.wikipedia.org/wiki/Oh_Ji-young||Q15117302=volleyball player|Q1734=volleyball|intl
Q11287769|Hwang Min-kyoung|1990-06-02|mk.only_1|||South Korea|||https://en.wikipedia.org/wiki/Hwang_Min-kyoung||Q15117302=volleyball player|Q1734=volleyball|intl
Q11383507|Arisa Satō|1989-07-18||0718Ari||Japan|||https://en.wikipedia.org/wiki/Arisa_Sat%C5%8D||Q15117302=volleyball player|Q1734=volleyball|intl
Q11384356|Miya Satō|1990-03-07|m.sato8|||Japan|||https://en.wikipedia.org/wiki/Miya_Sato_(volleyball,_born_1990)||Q15117302=volleyball player|Q1734=volleyball|intl
Q11395125|Koyomi Iwasaki|1989-05-01|koyomi.i|||Japan|||https://en.wikipedia.org/wiki/Koyomi_Iwasaki||Q15117302=volleyball player|Q1734=volleyball|intl
Q11558331|Satoko Urata|1980-12-22||urasato55||Japan|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q11603050|Mihoko Tsutsui|1985-12-06|m1homoko|mihomoco12||Japan|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q11620612|Mari Ochiai|1982-01-04||ochimari57||Japan|||||Q15117302=volleyball player;Q2705098=tarento|Q1734=volleyball|intl
Q11627512|Takemi Nishibori|1981-08-20||takeiteasy0820||Japan|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q11671530|Miho Takahashi|1988-11-29|mihotakahashi18|||Japan|||||Q15117302=volleyball player;Q2066131=athlete|Q1734=volleyball|intl
Q11720669|Jarasporn Bundasak|1993-03-01|nadear_09|||Thailand|||https://en.wikipedia.org/wiki/Jarasporn_Bundasak||Q15117302=volleyball player|Q1734=volleyball|intl
Q11728662|Jovana Stevanović|1992-06-30|stevanovicjovana_15|||Serbia|||https://en.wikipedia.org/wiki/Jovana_Stevanovi%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q11729466|Jurairat Ponleka|1991-10-06|maii_thai55|||Thailand|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q11739251|Kim Su-ji|1987-06-20|suji6620|suji6620||South Korea|||https://en.wikipedia.org/wiki/Kim_Su-ji_(volleyball)||Q15117302=volleyball player|Q1734=volleyball|intl
Q11753635|Lee Hyo-hee|1980-08-26|leehyohee80|||South Korea|||https://en.wikipedia.org/wiki/Lee_Hyo-hee||Q15117302=volleyball player|Q1734=volleyball|intl
Q11796105|Odina Aliyeva|1990-05-22|odina_5_aliyeva|||Azerbaijan;Uzbekistan|Volleybox||https://en.wikipedia.org/wiki/Odina_Aliyeva|Athletes Unlimited Volleyball|Q15117302=volleyball player|Q1734=volleyball|intl
Q11811352|Park Jeong-ah|1993-03-26|_jjeong333_|||South Korea||http://www.worldofvolley.com/wov-community/players/11396.html|https://en.wikipedia.org/wiki/Park_Jeong-ah_(volleyball)||Q15117302=volleyball player|Q1734=volleyball|intl
Q11817026|Pilar Marie Victoria|1995-10-11|pilarvictoria21|||United States|||https://en.wikipedia.org/wiki/Pilar_Marie_Victori%C3%A1|Arkansas Razorbacks women's volleyball;Texas Longhorns women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q12279703|Elena Yaramova|1984-08-29|elena_yaramova|||Bulgaria|||||Q15117302=volleyball player;Q1930187=journalist|Q2736=association football|intl
Q12611826|Lee So-young|1994-10-17|so02_1|||South Korea|||https://en.wikipedia.org/wiki/Lee_So-young_(volleyball)||Q15117302=volleyball player|Q1734=volleyball|intl
Q13422431|Arunima Sinha|1988-07-20|dr.arunima_sinha|sinha_arunima||India|||https://en.wikipedia.org/wiki/Arunima_Sinha||Q15117302=volleyball player;Q9149093=mountaineer|Q1734=volleyball|intl
Q13426483|Tanja Hüberli|1992-08-27|tanjahueberli|||Switzerland||http://www.worldofvolley.com/wov-community/players/14822.html|https://en.wikipedia.org/wiki/Tanja_H%C3%BCberli||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q13476439|Panagiota Karagkouni|1993-01-07|penykaragkouni|||Greece|||https://en.wikipedia.org/wiki/Peny_Karagkouni||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q13534184|Ágatha Bednarczuk|1983-06-22|agatha_rippel|||Brazil||http://www.bvbinfo.com/player.asp?ID=6641|https://en.wikipedia.org/wiki/%C3%81gatha_Bednarczuk||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q13551280|Lauren Fendrick|1982-03-20||LaurenFendrick||United States||http://www.bvbinfo.com/player.asp?ID=5237|https://en.wikipedia.org/wiki/Lauren_Fendrick|UCLA Bruins women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q13560482|Mariafe Artacho del Solar|1993-10-24|mariafe_beach1|MariafeADS||Australia;Peru|InterSportStats|http://www.bvbinfo.com/player.asp?ID=8395|https://en.wikipedia.org/wiki/Mariafe_Artacho_del_Solar||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q13569889|Heather Bansley|1987-09-13|heatherbansley|HeatherBansley||Canada||http://www.bvbinfo.com/player.asp?ID=9176|https://en.wikipedia.org/wiki/Heather_Bansley||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q13580969|Taliqua Clancy|1992-06-25|taliqua|TaliquaClancy||Australia|||https://en.wikipedia.org/wiki/Taliqua_Clancy||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q14865206|Cristina Chirichella|1994-02-10|cristinachirichella10|||Italy|||https://en.wikipedia.org/wiki/Cristina_Chirichella||Q15117302=volleyball player|Q1734=volleyball|intl
Q14877718|Ilka Van de Vyver|1993-01-26|ilka_vdvyver|||Belgium||http://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=59514540|https://en.wikipedia.org/wiki/Ilka_Van_de_Vyver||Q15117302=volleyball player|Q1734=volleyball|intl
Q14878184|Nina Coolman|1991-01-25|ninacoolman|||Belgium||http://www.bvbinfo.com/player.asp?ID=17407;http://www.worldofvolley.com/wov-community/players/12997.html|https://en.wikipedia.org/wiki/Nina_Coolman||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q14878223|Valérie Courtois|1990-11-01|valerie_courtois|||Belgium|VBL database;Volleybox;WorldofVolley||https://en.wikipedia.org/wiki/Val%C3%A9rie_Courtois||Q15117302=volleyball player|Q1734=volleyball|intl
Q14912022|Celeste Plak|1995-10-26|celesteplak|||Kingdom of the Netherlands|Olympedia||https://en.wikipedia.org/wiki/Celeste_Plak||Q15117302=volleyball player|Q1734=volleyball|intl
Q14912023|Yvon Beliën|1993-12-28|yvon.belien|||Kingdom of the Netherlands||http://www.worldofvolley.com/wov-community/players/14737.html|https://en.wikipedia.org/wiki/Yvon_Beli%C3%ABn||Q15117302=volleyball player|Q1734=volleyball|intl
Q15061790|Dominika Valachová|1986-06-04|domivalachova|||Slovakia|FIVB database;VBL database;Volleybox;WorldofVolley||||Q15117302=volleyball player|Q1734=volleyball|intl
Q15066177|Manolina Konstantinou|1993-04-10|manolinakonst|||Cyprus|||https://en.wikipedia.org/wiki/Manolina_Konstantinou||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q15066184|Sofia Kosma|1993-11-15|sofiakosma|||Greece||https://www.greekvolley.gr/index.php/news/metagrafika/item/5021-kosma-sofia.html|https://en.wikipedia.org/wiki/Sofia_Kosma||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q15832785|Louisa Lippmann|1994-09-23|louisa_lippmann|||Germany|DOSB database|http://www.volleyball-verband.de/de/kader/nationalmannschaft--a-frauen-/spielerinnen--amp--trainer/louisa-lippmann/;https://sportinternat-muenster.de/user/43|https://en.wikipedia.org/wiki/Louisa_Lippmann||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q15833868|Maria Eckelmann|1995-03-30|mariaeckelmann|||Germany|Beach Volleyball Database;VBL database;Volleybox||||Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|intl
Q15852823|Victoria Bieneck|1991-03-26|toribieneck|||Germany|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q15918474|Hayley Spelman|1991-06-11|hayley_spelman|||United States||https://www.legavolleyfemminile.it/?page_id=194&idat=SPE-HAY|||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q15953886|Shanice Marcelle|1990-05-28|shanicemarcelle18|shanicem||Canada|Beach Volleyball Database;FIVB database;Volleybox;WorldofVolley||https://en.wikipedia.org/wiki/Shanice_Marcelle||Q15117302=volleyball player;Q17361156=beach volleyball player;Q20730881=volleyball coach|Q1734=volleyball;Q4543=beach volleyball|beach
Q15976332|Nikola Radosova|1992-05-03|nikarados|||Slovakia|FIVB database;VBL database;Volleybox;WorldofVolley||https://en.wikipedia.org/wiki/Nikola_Radosov%C3%A1||Q15117302=volleyball player|Q1734=volleyball|intl
Q16175098|Lee Go-eun|1995-01-09|leegoeun6|||South Korea|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q16200814|Marta Gens|1969-12-30||gensmarta||Spain|Catalan Sport Encyclopedia||https://en.wikipedia.org/wiki/Marta_Gens||Q15117302=volleyball player|Q1734=volleyball|intl
Q16264497|Mami Uchiseto|1991-10-25|mami.uchiseto|MamiV025v||Japan|||https://en.wikipedia.org/wiki/Mami_Uchiseto||Q15117302=volleyball player|Q1734=volleyball|intl
Q16382969|Mabel Caro|1991-03-13|mabicaro|mabi_caro||Spain|||||Q15117302=volleyball player;Q27349=dentist|Q1734=volleyball|intl
Q16469200|Ilaria Spirito|1994-02-20|ilariaspirito5|||Italy||http://www.worldofvolley.com/wov-community/players/17958.html|https://en.wikipedia.org/wiki/Ilaria_Spirito||Q15117302=volleyball player|Q1734=volleyball|intl
Q16520278|Myriam Sylla|1995-01-08|miriamsylla|||Italy|||https://en.wikipedia.org/wiki/Myriam_Sylla||Q15117302=volleyball player|Q1734=volleyball|intl
