# Session 16 Wikidata volleyball expansion (2026-09-07). selection audit (generated 2026-09-07).
# entryId	qid	group	name	dob	age	country	handles	referenceUrls	wiki	teams	flags
W-2026-875	Q272807	beach	Yevgeniya Startseva	1989-02-12	37	UNKNOWN	Instagram:startseva13;X:startseva13_	-	https://en.wikipedia.org/wiki/Yevgeniya_Startseva	-	COUNTRY_NOT_RECORDED
W-2026-876	Q272825	beach	Tatiana Kosheleva	1988-12-23	37	Russia	Instagram:kosheleva11	-	https://en.wikipedia.org/wiki/Tatiana_Kosheleva	-	-
W-2026-877	Q274375	intl	Natália Pereira	1989-04-04	37	Brazil	Instagram:natizilio12	-	https://en.wikipedia.org/wiki/Nat%C3%A1lia_Pereira	-	-
W-2026-878	Q274418	beach	Tandara Caixeta	1988-10-30	37	Brazil	Instagram:tandaracaixeta	-	https://en.wikipedia.org/wiki/Tandara_Caixeta	-	-
W-2026-879	Q274457	ncaa	Nicole Davis	1982-04-24	44	United States	Instagram:nicolemdavis6	-	https://en.wikipedia.org/wiki/Nicole_Davis	USC Trojans women's volleyball;United States women's national volleyball team	-
W-2026-880	Q275144	intl	Maiko Kano	1988-07-15	38	Japan	Instagram:kanochan715;X:kanochan715	-	https://en.wikipedia.org/wiki/Maiko_Kano	-	-
W-2026-881	Q288812	intl	Marija Pucarević	1990-08-20	36	Serbia	Instagram:pucareviceva	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-882	Q378473	beach	Marta Menegatti	1990-08-16	36	Italy	Instagram:marta_menegatti	-	https://en.wikipedia.org/wiki/Marta_Menegatti	-	-
W-2026-883	Q432213	intl	Ceyda Aktaş	1994-08-18	32	Turkey	Instagram:ceydaaktas;X:CeydaAktas	http://www.worldofvolley.com/wov-community/players/6567.html	https://en.wikipedia.org/wiki/Ceyda_Akta%C5%9F	-	-
W-2026-884	Q439612	beach	Laura Dijkema	1990-02-18	36	Kingdom of the Netherlands	Instagram:lauradijkema	-	https://en.wikipedia.org/wiki/Laura_Dijkema	-	-
W-2026-885	Q441141	beach	April Ross	1982-06-20	44	United States	Instagram:aprilrossbeach;X:AprilRossBeach	-	https://en.wikipedia.org/wiki/April_Ross	USC Trojans women's volleyball	-
W-2026-886	Q447779	beach	Suzana Ćebić	1984-11-09	41	Serbia	Instagram:suzana_cebic	-	https://en.wikipedia.org/wiki/Suzana_%C4%86ebi%C4%87	-	-
W-2026-887	Q458463	beach	Leila Barros	1971-09-30	54	Brazil	Instagram:leiladovolei;X:leiladovolei	https://www25.senado.leg.br/web/senadores/senador/-/perfil/5979	https://en.wikipedia.org/wiki/Leila_Barros	-	-
W-2026-888	Q463578	beach	Regla Torres	1975-02-12	51	Cuba	Instagram:reglavoly	https://www.ecured.cu/Regla_Torres	https://en.wikipedia.org/wiki/Regla_Torres	-	-
W-2026-889	Q467597	beach	Marleen van Iersel	1988-01-07	38	Kingdom of the Netherlands	Instagram:marleenvaniersel;X:MarleenvIersel	-	https://en.wikipedia.org/wiki/Marleen_van_Iersel	-	-
W-2026-890	Q483736	intl	Han Yoo-mi	1982-02-05	44	South Korea	X:hym82vo	-	https://en.wikipedia.org/wiki/Han_Yoo-mi	-	-
W-2026-891	Q483742	intl	Kim Sa-nee	1981-06-21	45	South Korea	Instagram:saneekim	-	https://en.wikipedia.org/wiki/Kim_Sa-nee	-	-
W-2026-892	Q484138	intl	Yang Hyo-jin	1989-12-14	36	South Korea	Instagram:hjyang14v	-	https://en.wikipedia.org/wiki/Yang_Hyo-jin	-	-
W-2026-893	Q513248	beach	Markéta Sluková	1988-06-28	38	Czech Republic	Instagram:beach_maki	-	https://en.wikipedia.org/wiki/Mark%C3%A9ta_Slukov%C3%A1	-	-
W-2026-894	Q513552	intl	Femke Stoltenborg	1991-07-30	35	Kingdom of the Netherlands	Instagram:femkestoltenborg	http://worldgrandprix.2017.fivb.com/en/group1/competition/teams/ned-netherlands/players/femke-stoltenborg?id=58000	https://en.wikipedia.org/wiki/Femke_Stoltenborg	-	-
W-2026-895	Q513594	intl	Myrthe Schoot	1988-08-29	38	Kingdom of the Netherlands	Instagram:myrtheschoot;X:MyrtheSchoot	-	https://en.wikipedia.org/wiki/Myrthe_Schoot	-	-
W-2026-896	Q514610	beach	Madelein Meppelink	1989-11-29	36	Kingdom of the Netherlands	Instagram:m_meppelink;X:M_Meppelink	-	https://en.wikipedia.org/wiki/Madelein_Meppelink	-	-
W-2026-897	Q515646	beach	Liliana Fernández	1987-01-04	39	Spain	Instagram:liliana.fernandez.steiner	-	https://en.wikipedia.org/wiki/Liliana_Fern%C3%A1ndez	-	-
W-2026-898	Q539226	beach	Angie Bland	1984-04-26	42	Belgium	Instagram:abland84	-	https://en.wikipedia.org/wiki/Angie_Bland	-	-
W-2026-899	Q546910	beach	Gabrielle Reece	1970-01-06	56	United States	Instagram:gabbyreece	-	https://en.wikipedia.org/wiki/Gabrielle_Reece	Florida State Seminoles women's volleyball	-
W-2026-900	Q568237	beach	Anouk Vergé-Dépré	1992-02-11	34	Switzerland	Instagram:anoukvergedepre;X:anoukvergedepre	https://www.rio2016.com/en/athlete/anouk-verge-depre	https://en.wikipedia.org/wiki/Anouk_Verg%C3%A9-D%C3%A9pr%C3%A9	-	-
W-2026-901	Q600561	beach	Miyuki Takahashi	1978-12-25	47	Japan	Instagram:shin_miyukichi	-	https://en.wikipedia.org/wiki/Miyuki_Takahashi_(volleyball)	-	-
W-2026-902	Q608269	beach	Debby Stam	1984-07-24	42	Kingdom of the Netherlands	Instagram:debby_stam	-	https://en.wikipedia.org/wiki/Debby_Stam	-	-
W-2026-903	Q624724	intl	Kim Hee-jin	1991-04-29	35	South Korea	Instagram:geurujam_	-	https://en.wikipedia.org/wiki/Kim_Hee-jin	-	-
W-2026-904	Q659237	intl	Cristina Pîrv	1972-06-29	54	Brazil; Romania	Instagram:pirv11oficial;X:pirv11oficial	-	https://en.wikipedia.org/wiki/Cristina_P%C3%AErv	-	-
W-2026-905	Q751211	intl	Natalia Mędrzyk	1992-01-13	34	Poland	Instagram:natalia_medrzyk	http://www.worldofvolley.com/wov-community/players/3974.html	https://en.wikipedia.org/wiki/Natalia_M%C4%99drzyk	-	-
W-2026-906	Q765751	beach	Alix Klineman	1989-12-30	36	United States	Instagram:alixklineman;X:alixklineman	-	https://en.wikipedia.org/wiki/Alix_Klineman	United States women's national under-19 volleyball team;United States women's national volleyball team	-
W-2026-907	Q807607	intl	Barbara Wezorke	1993-04-12	33	Germany	Instagram:nobacon.barb	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-908	Q807859	beach	Barbora Hermannová	1990-11-07	35	Czech Republic	Instagram:bara.hermannova	https://www.olympic.cz/sportovec/4332--barbora-hermannova	https://en.wikipedia.org/wiki/Barbora_Hermannov%C3%A1	-	-
W-2026-909	Q841393	intl	Motoko Obayashi	1967-06-15	59	Japan	Instagram:m.oobayashi;X:motoko_pink	-	https://en.wikipedia.org/wiki/Motoko_Obayashi	-	-
W-2026-910	Q938434	intl	Bahar Toksoy	1988-02-06	38	Turkey	X:bhrtksy	-	https://en.wikipedia.org/wiki/Bahar_Toksoy	-	-
W-2026-911	Q946914	intl	Valentina Diouf	1993-01-10	33	Italy	Instagram:durbansmile	-	https://en.wikipedia.org/wiki/Valentina_Diouf	-	-
W-2026-912	Q998363	beach	Merita Mol	1969-02-24	57	Norway	Instagram:merita_mol	http://www.bvbinfo.com/player.asp?ID=1473	https://en.wikipedia.org/wiki/Merita_Berntsen	UC Santa Barbara Gauchos women's volleyball	-
W-2026-913	Q1044420	beach	Carolina Solberg	1987-08-06	39	Brazil	Instagram:carol_solberg	-	https://en.wikipedia.org/wiki/Carolina_Solberg_Salgado	-	-
W-2026-914	Q1049946	beach	Kana Oyama	1984-06-19	42	Japan	Instagram:kanaoyama0619;X:kanakanabun	-	https://en.wikipedia.org/wiki/Kana_Oyama	-	-
W-2026-915	Q1059562	intl	Nana Iwasaka	1990-07-03	36	Japan	Instagram:nana.iwasaka;X:hiswmstk7	-	https://en.wikipedia.org/wiki/Nana_Iwasaka	-	-
W-2026-916	Q1059930	intl	Kotoe Inoue	1990-02-15	36	Japan	Instagram:kotoe.i15;X:kotoe15	-	https://en.wikipedia.org/wiki/Kotoe_Inoue	-	-
W-2026-917	Q1062408	beach	Chantal Laboureur	1990-01-04	36	Germany	Instagram:chantallaboureur	-	https://en.wikipedia.org/wiki/Chantal_Laboureur	-	-
W-2026-918	Q1073217	beach	Áurea Cruz	1982-01-10	44	United States	Instagram:azcruz	-	https://en.wikipedia.org/wiki/%C3%81urea_Cruz	Florida Gators women's volleyball	-
W-2026-919	Q1091406	beach	Ciara Michel	1985-07-02	41	United Kingdom	Instagram:vb_ci;X:vb_ci	http://www.worldofvolley.com/wov-community/players/15889.html	https://en.wikipedia.org/wiki/Ciara_Michel	-	-
W-2026-920	Q1092521	beach	Cinja Tillmann	1991-07-13	35	Germany	Instagram:cinjatillmann	-	https://en.wikipedia.org/wiki/Cinja_Tillmann	-	-
W-2026-921	Q1187767	intl	Denise Imoudu	1995-12-14	30	Germany	Instagram:deniseimoudu	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-922	Q1327901	intl	Magdalena Gryka	1994-03-28	32	Germany; Poland	Instagram:magdagryka	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743143591&hideHistoryBackButton=true	-	-	-
W-2026-923	Q1393560	intl	Nana Meriwether	1985-05-24	41	South Africa; United States	Instagram:nanameriwether	-	https://en.wikipedia.org/wiki/Nana_Meriwether	-	-
W-2026-924	Q1469069	beach	Sarah Pavan	1986-08-16	40	Canada	Instagram:sarah_pavan;X:SarahPavan	http://www.bvbinfo.com/player.asp?ID=14304	https://en.wikipedia.org/wiki/Sarah_Pavan	Nebraska Cornhuskers women's volleyball	-
W-2026-925	Q1537222	intl	Nele Barber	1994-10-27	31	Germany	Instagram:nelebarber	https://www.volleyball.world/en/vnl/2019/women/teams/ger-germany/players/nele-barber?id=71226	-	-	-
W-2026-926	Q1571662	intl	Carmen Turlea	1975-11-18	50	Italy; Romania	X:CarmenTurlea	-	https://en.wikipedia.org/wiki/Carmen_%C8%9Aurlea	-	-
W-2026-927	Q1645601	intl	Helena Grozer	1988-07-25	38	Czech Republic	Instagram:helenahavelkova16	https://sport.idnes.cz/volejbal.aspx?y=vol_reprez/mistrovstvi-evropy-volejbalistek-2009-cesky-tym.htm	https://en.wikipedia.org/wiki/Helena_Grozer	-	-
W-2026-928	Q1686941	intl	Jennifer Janiska	1994-04-05	32	Germany	Instagram:jjaniska_6	http://www.volleyball-verband.de/de/kader/nationalmannschaft--a-frauen-/spielerinnen--amp--trainer/jennifer-geerties/	https://en.wikipedia.org/wiki/Jennifer_Janiska	-	-
W-2026-929	Q1711835	intl	Julia Eckelmann	1995-03-30	31	Germany	Instagram:julaeckelmann	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-930	Q1749385	intl	Christina Bauer	1988-01-01	38	France	X:BauerChristina1	-	https://en.wikipedia.org/wiki/Christina_Bauer	-	-
W-2026-931	Q1750649	intl	Lauren Bertolacci	1985-01-26	41	Australia	Instagram:laurenberto	http://www.worldofvolley.com/wov-community/players/139167.html;http://www.worldofvolley.com/wov-community/players/7711.html	https://en.wikipedia.org/wiki/Lauren_Bertolacci	-	-
W-2026-932	Q1773781	beach	Alisha Glass	1988-04-05	38	United States	Instagram:aglass1_6	-	https://en.wikipedia.org/wiki/Alisha_Glass	Athletes Unlimited Volleyball;Penn State Nittany Lions women's volleyball;United States women's national volleyball team	-
W-2026-933	Q1944732	beach	Monika Paulikienė	1994-08-30	32	Lithuania	Instagram:monikapovilaityte	-	https://en.wikipedia.org/wiki/Monika_Paulikien%C4%97	-	-
W-2026-934	Q1982651	intl	Floortje Meijners	1987-01-16	39	Kingdom of the Netherlands	Instagram:floortjemeijners	-	https://en.wikipedia.org/wiki/Floortje_Meijners	-	-
W-2026-935	Q1993409	beach	Milena Rašić	1990-10-25	35	Serbia	Instagram:milena.rasic;X:milenarasic1	-	https://en.wikipedia.org/wiki/Milena_Ra%C5%A1i%C4%87	-	-
W-2026-936	Q2020124	beach	Polina Rahimova	1990-06-05	36	Azerbaijan; Ukraine	Instagram:polina_rahimova	-	https://en.wikipedia.org/wiki/Polina_Rahimova	-	-
W-2026-937	Q2221013	beach	Sandra Ittlinger	1994-06-24	32	Germany	Instagram:sandra_ittlinger;TikTok:sandraittlinger	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-938	Q2263164	beach	Heather Bown	1978-11-29	47	United States	X:heather_e_bown	-	https://en.wikipedia.org/wiki/Heather_Bown	UC Santa Barbara Gauchos women's volleyball	-
W-2026-939	Q2330163	beach	Neslihan Demir	1983-12-09	42	Turkey	Instagram:nesli177	-	https://en.wikipedia.org/wiki/Neslihan_Demir	-	-
W-2026-940	Q2405216	beach	Pelin Çelik	1982-05-23	44	Turkey	X:pelinp	-	https://en.wikipedia.org/wiki/Pelin_%C3%87elik	-	-
W-2026-941	Q2405220	intl	Fernanda Venturini	1970-10-24	55	Brazil	Instagram:fernandaventurini_oficial	http://www.worldofvolley.com/wov-community/players/48713.html	https://en.wikipedia.org/wiki/Fernanda_Venturini	-	-
W-2026-942	Q2407430	intl	Elif Ağca Yarar	1984-02-10	42	Turkey	Instagram:elfagca7;X:elf27	-	https://en.wikipedia.org/wiki/Elif_A%C4%9Fca_Yarar	-	-
W-2026-943	Q2420072	intl	Megumi Kurihara	1984-07-31	42	Japan	Instagram:megumi_kurihara_official	-	https://en.wikipedia.org/wiki/Megumi_Kurihara	-	-
W-2026-944	Q2422045	beach	Meliha Diken	1993-09-17	32	Bosnia and Herzegovina; Turkey	Instagram:_melly03;X:_melly3	http://www.bvbinfo.com/player.asp?ID=15023;http://www.worldofvolley.com/wov-community/players/13590.html	https://en.wikipedia.org/wiki/Meliha_%C4%B0smailo%C4%9Flu	-	-
W-2026-945	Q2436029	intl	Prisilla Rivera	1984-12-29	41	Dominican Republic	Instagram:prisillarivera14	-	https://en.wikipedia.org/wiki/Prisilla_Rivera	-	-
W-2026-946	Q2436614	intl	Milena Sadurek	1984-10-18	41	Poland	Instagram:mila_sadurek	-	https://en.wikipedia.org/wiki/Milena_Radecka	-	-
W-2026-947	Q2437053	intl	Lisvel Elisa Eve	1991-09-10	34	Dominican Republic	Instagram:lisveleve3	-	https://en.wikipedia.org/wiki/Lisvel_Elisa_Eve	-	-
W-2026-948	Q2530775	intl	Zeynep Sever	1989-07-09	37	Belgium; Turkey	Instagram:zeynepseverdemirel	https://www.karar.com/karar-biyografi/zeynep-sever-demirel-kimdir-kac-yasinda-nereli-ne-is-yapiyor-1612956	https://en.wikipedia.org/wiki/Zeynep_Sever	-	-
W-2026-949	Q2608891	intl	Jelena Nikolić	1982-04-13	44	Serbia	Instagram:nikolica12	-	https://en.wikipedia.org/wiki/Jelena_Nikoli%C4%87	-	-
W-2026-950	Q2610544	intl	Seda Aslanyürek	1986-06-25	40	Turkey	Instagram:seda9	-	https://en.wikipedia.org/wiki/Seda_Tokatl%C4%B1o%C4%9Flu	-	-
W-2026-951	Q2615426	intl	Gabriela Pérez del Solar	1968-07-10	58	Peru	Instagram:gabyperezdelsolar	https://infogob.jne.gob.pe/Politico/FichaPolitico/gabriela-lourdes-perez-del-solar-cuculiza_historial-partidario_nFClh9xN6ugc6+@0ElOxMA==C9	https://en.wikipedia.org/wiki/Gabriela_P%C3%A9rez_del_Solar	-	-
W-2026-952	Q2619475	intl	Carol Gattaz	1981-07-27	45	Brazil	Instagram:carolgattaz;X:carolgattaz	https://www.olimpiadatododia.com.br/atletas/volei-feminino/caroline-de-oliveira-saad-carol-gattaz-jogos-olimpicos-toquio-2020/	https://en.wikipedia.org/wiki/Carol_Gattaz	-	-
W-2026-953	Q2625258	ncaa	Nancy Metcalf	1978-11-12	47	United States	X:nancyjmetcalf	-	https://en.wikipedia.org/wiki/Nancy_Metcalf	Nebraska Cornhuskers women's volleyball;United States women's national volleyball team	-
W-2026-954	Q2629578	intl	Ivana Nešović	1988-07-23	38	Serbia	Instagram:nesovicivana	-	https://en.wikipedia.org/wiki/Ivana_Ne%C5%A1ovi%C4%87	-	-
W-2026-955	Q2632984	beach	Camila Brait	1988-10-28	37	Brazil	Instagram:cbrait	-	https://en.wikipedia.org/wiki/Camila_Brait	-	-
W-2026-956	Q2665739	beach	Cecilia Tait	1962-03-05	64	Peru	X:CeciliaTaitV	https://infogob.jne.gob.pe/Politico/FichaPolitico/cecilia-roxana-tait-villacorta_historial-partidario_RWXt3c6mMkcc6+@0ElOxMA==Xc	https://en.wikipedia.org/wiki/Cecilia_Tait	-	-
W-2026-957	Q2711893	intl	Sara Anzanello	1980-07-30	46	Italy	Instagram:anza1;X:anza1	-	https://en.wikipedia.org/wiki/Sara_Anzanello	-	-
W-2026-958	Q2829153	intl	Aksana Kavalchuk	1979-11-23	46	Belarus	Instagram:aksana_kavalchuk_volley	http://www.worldofvolley.com/wov-community/players/1492.html	https://en.wikipedia.org/wiki/Aksana_Kavalchuk	-	CONFLICTING_IG_STATEMENTS
W-2026-959	Q2844954	intl	Ana Beatriz Corrêa	1992-02-07	34	Brazil	Instagram:anabeatrizcorrea	https://www.olympedia.org/athletes/141181	https://en.wikipedia.org/wiki/Ana_Beatriz_Corr%C3%AAa	-	-
W-2026-960	Q2866702	intl	Aslı Kalaç	1995-12-13	30	Turkey	Instagram:aslikalac	-	https://en.wikipedia.org/wiki/Asl%C4%B1_Kala%C3%A7	-	-
W-2026-961	Q2923360	beach	Brackcides Khadambi	1984-05-14	42	Kenya	Instagram:blackieagala	http://www.worldofvolley.com/wov-community/players/11368.html;https://nation.africa/kenya/sports/prisons-face-rivals-pipeline-without-injured-agala-4271134	https://en.wikipedia.org/wiki/Brackcides_Khadambi	-	-
W-2026-962	Q3009630	intl	Cándida Arias	1992-03-11	34	Dominican Republic	Instagram:candidaarias	https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/119224	https://en.wikipedia.org/wiki/C%C3%A1ndida_Arias	-	-
W-2026-963	Q3061344	intl	Eva Chantava	1990-10-26	35	Greece	Instagram:evachantava;X:EChantava	http://www.worldofvolley.com/wov-community/players/84703.html	https://en.wikipedia.org/wiki/Eva_Chantava	-	-
W-2026-964	Q3081190	intl	Francien Huurman	1975-04-18	51	Kingdom of the Netherlands	Instagram:franshine	-	https://en.wikipedia.org/wiki/Francien_Huurman	-	-
W-2026-965	Q3089303	beach	Kaoru Sugayama	1978-12-26	47	Japan	Instagram:kaoru546sean	-	https://en.wikipedia.org/wiki/Kaoru_Sugayama	-	-
W-2026-966	Q3108218	intl	Gizem Örge	1993-04-26	33	Turkey	Instagram:gizemorge;X:gizemorge	-	https://en.wikipedia.org/wiki/Gizem_%C3%96rge	-	-
W-2026-967	Q3129962	intl	Heloiza Lacerda Pereira	1990-11-02	35	Brazil	Instagram:helo90	http://clubworldchampionships.2016.women.fivb.com/en/teams/rex-rexona-sesc%20rio/players/heloiza-pereira?id=54391;http://clubworldchampionships.2016.women.fivb.com/en/players/heloiza-pereira?id=54391	-	-	-
W-2026-968	Q3197416	intl	Kirsten Knip	1992-09-14	33	Kingdom of the Netherlands	Instagram:kirstenknip;TikTok:kirstenknip1	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=70392475	https://en.wikipedia.org/wiki/Kirsten_Knip	-	-
W-2026-969	Q3218829	ncaa	Lauren Gibbemeyer	1988-09-08	37	United States	Instagram:lgibby5	-	https://en.wikipedia.org/wiki/Lauren_Gibbemeyer	Minnesota Golden Gophers women's volleyball	-
W-2026-970	Q3293183	intl	Marina Tumas	1984-09-17	41	Belarus	Instagram:tumik1	http://www.worldofvolley.com/wov-community/players/10596.html	https://en.wikipedia.org/wiki/Marina_Tumas	-	-
W-2026-971	Q3303222	intl	Maëva Orlé	1991-05-08	35	France	Instagram:orle_maeva	http://www.worldofvolley.com/wov-community/players/7324.html	-	-	-
W-2026-972	Q3305207	intl	Cenaida Uribe	1965-12-02	60	Peru	X:cenaida_uribe	https://infogob.jne.gob.pe/Politico/FichaPolitico/cenaida-cebastiana-uribe-medina_historial-partidario_Nz0QE56ZYOk=05	https://en.wikipedia.org/wiki/Cenaida_Uribe	-	-
W-2026-973	Q3308599	intl	Michaela Abrhámová	1993-08-31	33	Slovakia	Instagram:sealavie_bymiki	http://www.svf.sk/sk/reprezentacia/zeny/repre/blokar/michaela-abrhamova/	https://en.wikipedia.org/wiki/Michaela_Abrh%C3%A1mov%C3%A1	-	-
W-2026-974	Q3313840	beach	Milagros Collar	1988-04-15	38	Spain	Instagram:mailacollar	http://www.bvbinfo.com/player.asp?ID=8377	https://en.wikipedia.org/wiki/Milagros_Collar	-	-
W-2026-975	Q3320766	beach	Monika Potokar	1987-12-18	38	Slovenia	Instagram:monipoto16	http://www.bvbinfo.com/player.asp?ID=20177	-	-	-
W-2026-976	Q3320768	intl	Monika Rákošová	1987-09-30	38	Slovakia	Instagram:monkaaa10	-	-	-	AGE_EVIDENCE_NAMED_SOURCE_ONLY
W-2026-977	Q3416130	intl	Rachele Sangiuliano	1981-06-23	45	Italy	Instagram:racu7	-	https://en.wikipedia.org/wiki/Rachele_Sangiuliano	-	-
W-2026-978	Q3436803	intl	Roberta Ratzke	1990-04-28	36	Brazil	Instagram:robertaratzke	https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/119575	https://en.wikipedia.org/wiki/Roberta_Ratzke	-	-
W-2026-979	Q3441890	intl	Roosa Koskelo	1991-08-20	35	Finland	Instagram:rrrrosee	https://www.cev.eu/PlayerDetail.aspx?PlayerID=6994	https://en.wikipedia.org/wiki/Roosa_Koskelo	-	-
