# Session 19 fashion/fitness-model continuation (2026-09-07). Wikidata P106 sweep OFFSET 250–400 + influencer P854.
# qid|name|dob|ig|tt|occ|refUrl|wiki
# Queries: data/research/urls/s18_prom_off{250,300,350,400}.url and s18_inf_off0.url
Q109595936|Aoi Fujino|1998-09-29|fujino_aoi||model|https://girlsnews.tv/dvd/380422|https://en.wikipedia.org/wiki/Aoi_Fujino
Q109608|Sophia Thomalla|1989-10-06|sophiathomalla||model||https://en.wikipedia.org/wiki/Sophia_Thomalla
Q109622196|Greteli Fincham|2001-05-09|gretelifincham|greteli_deswardt|model|https://www.tvsa.co.za/actors/viewactor.aspx?actorid=17985|https://en.wikipedia.org/wiki/Greteli_Fincham
Q109641514|Lidia Torrent|1994-08-16|lidiatorrentanca||model||https://en.wikipedia.org/wiki/Lidia_Torrent
Q109658|Gina-Lisa Lohfink|1986-09-23|ginalisa2309||model||https://en.wikipedia.org/wiki/Gina-Lisa_Lohfink
Q109667964|Destiny Wagner|1996-03-08|destinyewagner||model||https://en.wikipedia.org/wiki/Destiny_Wagner
Q109672951|Gabriella Lomm|1994-01-01|gabriellalommmann||model||https://en.wikipedia.org/wiki/Gabriella_Lomm_Mann
Q109719791|Lavanya Sivaji|1996-01-01|lavanyasivaji||model||https://en.wikipedia.org/wiki/Lavanya_Sivaji
Q109784725|Ariagny Daboín|1997-04-21|ariagnydaboin||model||https://en.wikipedia.org/wiki/Ariagny_Daboín
Q109826988|Elle Smith|1998-06-19|officialellesmith||model||https://en.wikipedia.org/wiki/Elle_Smith
Q109869094|Soleil Sorge|1994-07-05|soleil_stasi|soleil_stasi|model||https://en.wikipedia.org/wiki/Soleil_Sorge
Q110014592|Irmak Örnek|1987-08-20|irmakornek||model|https://www.csfd.cz/tvurce/231611/|https://en.wikipedia.org/wiki/Irmak_Örnek
Q110037992|Andrea Aguilera|2001-04-27|andreaaguilerapa||model||https://en.wikipedia.org/wiki/Andrea_Aguilera_(Ecuadorian_model)
Q110039137|Monica Khonado|1996-12-31|monica_kho||model||https://en.wikipedia.org/wiki/Monica_Khonado
Q110056988|Nella Rose|1997-07-20|nellarosee|nellarose|model|https://www.famousbirthdays.com/people/nella-rose.html|https://en.wikipedia.org/wiki/Nella_Rose
Q110063609|Diane Leyre|1997-07-10|dianeleyreoff||model||https://en.wikipedia.org/wiki/Diane_Leyre
Q110098595|Karolína Huvarová|1986-04-29|karolinahuvarova||model|https://www.fdb.cz/lidi-zivotopis-biografie/431018-karolina-huvarova.html|https://en.wikipedia.org/wiki/Karolína_Huvarová
Q110101013|Melanie Berentz|1999-09-07|melanieberentz||model||https://en.wikipedia.org/wiki/Melanie_Berentz
Q1101166|Ai Shinozaki|1992-02-26|shinopp._.ai||model||https://en.wikipedia.org/wiki/Ai_Shinozaki
Q110119753|Andreina Martínez Founier|1997-09-22|_andreinamart||model||https://en.wikipedia.org/wiki/Andreína_Martínez
Q1102536|Melissa Satta|1986-02-07|melissasatta||model||https://en.wikipedia.org/wiki/Melissa_Satta
Q110271753|Cemre Gümeli|1993-09-24|cemregumeli||model||https://en.wikipedia.org/wiki/Cemre_Gümeli
Q110308741|Marianly Tejada|1992-07-04|marianlytejada||model||https://en.wikipedia.org/wiki/Marianly_Tejada
Q110314836|Emma Broyles|2001-07-25|emmabroyles_|emmabroyles_|model|https://www.thefocus.news/celebrity/emma-broyles-ethnicity/|https://en.wikipedia.org/wiki/Emma_Broyles
Q110322465|Pasha Pozdniakova|1999-04-15|missparaskeva|littlesleepypasha|model||https://en.wikipedia.org/wiki/Pasha_Pozdniakova
Q11034228|Megan Young|1990-02-27|meganbata||model||https://en.wikipedia.org/wiki/Megan_Young
Q110403112|Juri Kōsaka|2005-07-14|juri_kosaka||fashion model|https://avex-management.jp/artists/actor/ZSM1w|https://en.wikipedia.org/wiki/Juri_Kosaka
Q110403411|Rena Yamasaki|2007-01-28|renayamasaki07||fashion model|https://www.horipro.co.jp/yamasakirena/|
Q110461761|Paola Locatelli|2004-03-02|paolalct|paolalct|model||https://en.wikipedia.org/wiki/Paola_Locatelli
Q110561091|Trisha Fernández|1994-11-19|trisha___fernandez||fashion model||https://en.wikipedia.org/wiki/Trisha_Fernández
Q110645778|Aymen Saleem|1996-01-01|aymen.saleem||model||https://en.wikipedia.org/wiki/Aymen_Saleem
Q110799482|Nagi Inoue|2005-02-17|nagi.i_official||fashion model|https://www.nogizaka46.com/s/n46/diary/detail/100104|https://en.wikipedia.org/wiki/Nagi_Inoue
Q110813591|Sabrina Chairunnisa|1992-11-19|sabrinachairunnisa_|sabrinachairunnisa_|model||https://en.wikipedia.org/wiki/Sabrina_Chairunnisa
Q1108726|Daria Strokous|1990-09-25|dariastrokous||model||https://en.wikipedia.org/wiki/Daria_Strokous
Q11087378|Hannah Quinlivan|1993-08-12|hannah_quinlivan||model||https://en.wikipedia.org/wiki/Hannah_Quinlivan
Q1108755|Sigrid Agren|1991-04-24|sigridagren||model||https://en.wikipedia.org/wiki/Sigrid_Agren
Q110940291|Catherine Davydzenka|1998-05-02|davydzenka.catherine||model||https://en.wikipedia.org/wiki/Catherine_Davydzenka
Q110967810|Bárbara Heck|1992-07-13|ba.heck|ba.heack|model|https://caras.uol.com.br/datas-especiais/completando-30-anos-barbara-heck-brinca-carinha-de-25.phtml|
Q111016301|Jareerat Petsom|1993-01-01|baitong__j||model||https://en.wikipedia.org/wiki/Jareerat_Petsom
Q111024535|Jess Bush|1991-03-26|onejessa||model|https://www.celebrityageinfo.com/2022/05/jess-bush.html|https://en.wikipedia.org/wiki/Jess_Bush
Q111084288|Willow Allen|1999-01-01|willow.allen|willow.allen|model||https://en.wikipedia.org/wiki/Willow_Allen
